periods;1 Yıl ve Daha Uzun Vadeli (TL Üzerinden Açılan Mevduatlar)(Akım %)
10.01.2025;38.49
3.01.2025;42.99
27.12.2024;38.22
20.12.2024;40.73
13.12.2024;39.53
6.12.2024;40.76
29.11.2024;36.46
22.11.2024;38.63
15.11.2024;37.11
8.11.2024;36.03
1.11.2024;36.32
25.10.2024;43.92
18.10.2024;35.89
11.10.2024;40.01
4.10.2024;44.71
27.09.2024;39.27
20.09.2024;38.50
13.09.2024;36.37
6.09.2024;35.74
30.08.2024;39.00
23.08.2024;44.01
16.08.2024;37.31
9.08.2024;41.88
2.08.2024;42.84
26.07.2024;41.20
19.07.2024;41.41
12.07.2024;41.41
5.07.2024;42.06
28.06.2024;42.58
21.06.2024;41.65
14.06.2024;44.85
7.06.2024;48.66
31.05.2024;45.97
24.05.2024;41.89
17.05.2024;45.72
10.05.2024;44.26
3.05.2024;44.10
26.04.2024;42.58
19.04.2024;44.62
12.04.2024;42.50
5.04.2024;47.66
29.03.2024;44.65
22.03.2024;37.57
15.03.2024;44.80
8.03.2024;39.91
1.03.2024;40.45
23.02.2024;39.42
16.02.2024;37.90
9.02.2024;39.79
2.02.2024;39.10
26.01.2024;38.72
19.01.2024;37.79
12.01.2024;37.81
5.01.2024;37.77
29.12.2023;37.76
22.12.2023;39.59
15.12.2023;37.50
8.12.2023;38.10
1.12.2023;37.20
24.11.2023;38.24
17.11.2023;35.22
10.11.2023;35.14
3.11.2023;35.65
27.10.2023;32.78
20.10.2023;32.04
13.10.2023;30.31
6.10.2023;30.43
29.09.2023;31.49
22.09.2023;26.73
15.09.2023;26.25
8.09.2023;25.70
1.09.2023;25.24
25.08.2023;19.80
18.08.2023;18.70
11.08.2023;18.56
4.08.2023;18.29
28.07.2023;18.81
21.07.2023;17.47
14.07.2023;17.93
7.07.2023;16.94
30.06.2023;17.68
23.06.2023;12.84
16.06.2023;16.12
9.06.2023;13.72
2.06.2023;14.54
26.05.2023;12.94
19.05.2023;11.63
12.05.2023;11.29
5.05.2023;11.60
28.04.2023;10.99
21.04.2023;11.70
14.04.2023;11.75
7.04.2023;14.46
31.03.2023;12.15
24.03.2023;11.58
17.03.2023;11.62
10.03.2023;11.24
3.03.2023;10.55
24.02.2023;11.79
17.02.2023;12.39
10.02.2023;11.66
3.02.2023;13.67
27.01.2023;11.54
20.01.2023;11.96
13.01.2023;12.80
6.01.2023;13.73
30.12.2022;12.53
23.12.2022;12.44
16.12.2022;12.76
9.12.2022;12.42
2.12.2022;11.23
25.11.2022;13.39
18.11.2022;13.57
11.11.2022;13.48
4.11.2022;13.65
28.10.2022;13.93
21.10.2022;15.51
14.10.2022;15.17
7.10.2022;14.83
30.09.2022;14.70
23.09.2022;15.36
16.09.2022;15.75
9.09.2022;15.44
2.09.2022;15.41
26.08.2022;15.58
19.08.2022;16.45
12.08.2022;16.76
5.08.2022;16.71
29.07.2022;16.76
22.07.2022;16.74
15.07.2022;16.29
8.07.2022;16.84
1.07.2022;16.52
24.06.2022;16.74
17.06.2022;16.70
10.06.2022;16.31
3.06.2022;16.19
27.05.2022;15.63
20.05.2022;15.01
13.05.2022;16.38
6.05.2022;15.81
29.04.2022;16.05
22.04.2022;15.40
15.04.2022;15.81
8.04.2022;15.66
1.04.2022;16.82
25.03.2022;16.22
18.03.2022;16.74
11.03.2022;15.80
4.03.2022;15.91
25.02.2022;16.77
18.02.2022;16.69
11.02.2022;16.83
4.02.2022;17.61
28.01.2022;18.25
21.01.2022;17.91
14.01.2022;16.89
7.01.2022;16.45
31.12.2021;15.82
24.12.2021;16.37
17.12.2021;15.22
10.12.2021;13.15
3.12.2021;15.79
26.11.2021;10.41
19.11.2021;12.53
12.11.2021;12.82
5.11.2021;13.10
29.10.2021;14.02
22.10.2021;14.66
15.10.2021;14.85
8.10.2021;15.30
1.10.2021;16.64
24.09.2021;16.42
17.09.2021;17.10
10.09.2021;15.94
3.09.2021;15.94
27.08.2021;16.15
20.08.2021;15.73
13.08.2021;16.32
6.08.2021;16.11
30.07.2021;17.80
23.07.2021;14.80
16.07.2021;17.03
9.07.2021;16.39
2.07.2021;17.73
25.06.2021;17.95
18.06.2021;16.73
11.06.2021;17.97
4.06.2021;18.44
28.05.2021;17.78
21.05.2021;17.20
14.05.2021;12.99
7.05.2021;17.35
30.04.2021;17.10
23.04.2021;17.53
16.04.2021;17.22
9.04.2021;17.40
2.04.2021;18.76
26.03.2021;18.13
19.03.2021;15.27
12.03.2021;16.78
5.03.2021;16.70
26.02.2021;16.26
19.02.2021;16.54
12.02.2021;16.22
5.02.2021;16.41
29.01.2021;16.46
22.01.2021;15.96
15.01.2021;16.21
8.01.2021;16.77
1.01.2021;17.31
25.12.2020;17.32
18.12.2020;15.76
11.12.2020;16.33
4.12.2020;15.01
27.11.2020;14.78
20.11.2020;13.39
13.11.2020;12.57
6.11.2020;12.09
30.10.2020;11.89
23.10.2020;11.73
16.10.2020;10.04
9.10.2020;11.92
2.10.2020;11.53
25.09.2020;10.54
18.09.2020;10.63
11.09.2020;10.27
4.09.2020;9.78
28.08.2020;9.66
21.08.2020;9.24
14.08.2020;8.93
7.08.2020;7.30
31.07.2020;7.03
24.07.2020;7.10
17.07.2020;7.39
10.07.2020;6.94
3.07.2020;6.71
26.06.2020;7.16
19.06.2020;6.73
12.06.2020;6.47
5.06.2020;5.62
29.05.2020;8.25
22.05.2020;6.60
15.05.2020;6.60
8.05.2020;6.97
1.05.2020;6.33
24.04.2020;8.54
17.04.2020;8.39
10.04.2020;8.69
3.04.2020;8.81
27.03.2020;8.61
20.03.2020;9.24
13.03.2020;8.56
6.03.2020;9.23
28.02.2020;8.65
21.02.2020;8.49
14.02.2020;8.91
7.02.2020;9.36
31.01.2020;8.48
24.01.2020;8.52
17.01.2020;9.25
10.01.2020;9.33
3.01.2020;9.85
27.12.2019;10.50
20.12.2019;10.94
13.12.2019;10.80
6.12.2019;10.44
29.11.2019;10.16
22.11.2019;10.73
15.11.2019;10.43
8.11.2019;10.49
1.11.2019;10.60
25.10.2019;11.26
18.10.2019;12.96
11.10.2019;11.66
4.10.2019;12.08
27.09.2019;12.57
20.09.2019;12.67
13.09.2019;13.30
6.09.2019;14.52
30.08.2019;12.91
23.08.2019;14.16
16.08.2019;13.08
9.08.2019;14.04
2.08.2019;15.15
26.07.2019;16.54
19.07.2019;18.16
12.07.2019;18.16
5.07.2019;18.67
28.06.2019;18.77
21.06.2019;19.84
14.06.2019;20.51
7.06.2019;18.59
31.05.2019;18.67
24.05.2019;22.38
17.05.2019;18.99
10.05.2019;18.98
3.05.2019;21.81
26.04.2019;18.32
19.04.2019;18.46
12.04.2019;17.26
5.04.2019;16.78
29.03.2019;17.79
22.03.2019;17.67
15.03.2019;17.90
8.03.2019;17.83
1.03.2019;18.45
22.02.2019;17.57
15.02.2019;17.46
8.02.2019;18.16
1.02.2019;17.25
25.01.2019;18.47
18.01.2019;19.70
11.01.2019;20.25
4.01.2019;20.88
28.12.2018;22.39
21.12.2018;20.47
14.12.2018;21.36
7.12.2018;22.99
30.11.2018;23.68
23.11.2018;23.50
16.11.2018;23.68
9.11.2018;24.02
2.11.2018;23.60
26.10.2018;23.46
19.10.2018;24.52
12.10.2018;23.57
5.10.2018;23.24
28.09.2018;25.03
21.09.2018;26.07
14.09.2018;22.50
7.09.2018;18.89
31.08.2018;16.81
24.08.2018;15.08
17.08.2018;15.83
10.08.2018;15.24
3.08.2018;15.27
27.07.2018;15.14
20.07.2018;15.22
13.07.2018;16.12
6.07.2018;14.71
29.06.2018;15.02
22.06.2018;13.84
15.06.2018;16.63
8.06.2018;15.43
1.06.2018;13.41
25.05.2018;12.87
18.05.2018;13.47
11.05.2018;13.74
4.05.2018;13.12
27.04.2018;12.62
20.04.2018;10.33
13.04.2018;11.39
6.04.2018;10.01
30.03.2018;12.26
23.03.2018;11.88
16.03.2018;11.90
9.03.2018;11.77
2.03.2018;12.12
23.02.2018;13.99
16.02.2018;12.96
9.02.2018;13.94
2.02.2018;11.37
26.01.2018;14.17
19.01.2018;11.47
12.01.2018;12.95
5.01.2018;12.19
29.12.2017;13.52
22.12.2017;14.32
15.12.2017;13.68
8.12.2017;13.16
1.12.2017;13.95
24.11.2017;12.54
17.11.2017;12.62
10.11.2017;10.99
3.11.2017;11.29
27.10.2017;11.39
20.10.2017;10.55
13.10.2017;10.46
6.10.2017;12.11
29.09.2017;11.73
22.09.2017;10.95
15.09.2017;11.53
8.09.2017;10.79
1.09.2017;12.98
25.08.2017;10.95
18.08.2017;10.83
11.08.2017;11.74
4.08.2017;11.38
28.07.2017;11.34
21.07.2017;11.06
14.07.2017;11.66
7.07.2017;12.91
30.06.2017;11.36
23.06.2017;12.74
16.06.2017;12.01
9.06.2017;12.82
2.06.2017;12.54
26.05.2017;12.52
19.05.2017;11.96
12.05.2017;11.98
5.05.2017;13.00
