city;rate
turkey;10.4
istanbul;10.2
Tekirdag;7.9
Edirne;6.8
Kirklareli;8.8
Balikesir;7.6
Çanakkale;6.0
İzmir;13.0
Aydin;10.3
Denizli;7.1
Mugla;8.3
Manisa;6.3
Afyonkarahisar;7.3
Kütahya;7.3
Usak;9.9
Bursa;8.9
Eskisehir;8.7
Bilecik;9.4
Kocaeli;10.5
Sakarya;9.4
Düzce;9.4
Bolu;10.2
Yalova;10.5
Ankara;12.1
Konya;7.3
Karaman;7.8
Antalya;9.7
Isparta;8.7
Burdur;6.0
Adana;15.3
Mersin;8.6
Hatay;14.4
K. Maras;15.0
Osmaniye;14.2
Kinkkale;13.3
Aksaray;6.7
Nigde;10.3
Nevsehir;6.6
Kirsehir;12.2
Kayseri;9.0
Sivas;10.7
Yozgat;8.5
Zinguldak;12.2
Karabük;11.2
Bartın;9.3
Kastamonu;5.3
çankiri;7.8
Sinop;6.3
Samsun;8.3
Tokat;6.6
Çorum;9.7
Amasya;7.3
Trabzon;10.4
Ordu;7.1
Giresun;9.9
Rize;9.0
Artvin;10.1
Gümüshane;10.6
Erzurum;8.4
Erzincan;11.6
Bayburt;9.7
Agri;16.1
Kars;8.4
İğdir;16.3
Ardahan;5.4
Malatya;7.2
Elazig;8.3
Bingöl;10.1
Tunceli;9.1
Van;21.7
Mus;12.7
Bitlis;13.0
Hakkari;27.8
Gaziantep;8.5
Adiyaman;17.2
Kilis;8.9
Sanliurfa;9.7
Diyarbakir;13.5
Mardin;17.8
Batman;17.2
Sirnak;21.5
Siirt;18.4
