Tarih;TP DB B01
1989-Q4;43,910.00
1990-Q1;45,056.00
1990-Q2;46,683.00
1990-Q3;50,516.00
1990-Q4;52,380.00
1991-Q1;49,387.00
1991-Q2;48,417.00
1991-Q3;50,216.00
1991-Q4;53,622.00
1992-Q1;51,584.00
1992-Q2;55,581.00
1992-Q3;59,745.00
1992-Q4;58,595.00
1993-Q1;60,511.00
1993-Q2;63,577.00
1993-Q3;68,643.00
1993-Q4;70,511.00
1994-Q1;70,835.00
1994-Q2;69,844.00
1994-Q3;69,475.00
1994-Q4;68,704.00
1995-Q1;74,443.00
1995-Q2;76,095.00
1995-Q3;75,725.00
1995-Q4;75,947.00
1996-Q1;76,124.00
1996-Q2;78,665.00
1996-Q3;79,020.00
1996-Q4;79,298.00
1997-Q1;76,381.00
1997-Q2;79,633.00
1997-Q3;81,957.00
1997-Q4;84,355.00
1998-Q1;85,751.00
1998-Q2;90,390.00
1998-Q3;95,708.00
1998-Q4;96,351.00
1999-Q1;94,914.00
1999-Q2;93,618.00
1999-Q3;97,384.00
1999-Q4;103,123.00
2000-Q1;104,752.00
2000-Q2;109,476.00
2000-Q3;110,712.00
2000-Q4;118,601.00
2001-Q1;116,946.00
2001-Q2;114,376.00
2001-Q3;119,774.00
2001-Q4;113,591.00
2002-Q1;114,904.00
2002-Q2;124,787.00
2002-Q3;126,499.00
2002-Q4;131,840.00
2003-Q1;132,712.00
2003-Q2;137,780.00
2003-Q3;142,474.00
2003-Q4;148,424.00
2004-Q1;148,925.00
2004-Q2;152,694.00
2004-Q3;157,778.00
2004-Q4;165,775.00
2005-Q1;164,346.00
2005-Q2;167,602.00
2005-Q3;171,155.00
2005-Q4;175,570.00
2006-Q1;190,196.00
2006-Q2;198,845.00
2006-Q3;204,116.00
2006-Q4;215,442.00
2007-Q1;219,867.00
2007-Q2;232,466.00
2007-Q3;244,727.00
2007-Q4;259,707.00
2008-Q1;274,128.00
2008-Q2;296,922.00
2008-Q3;301,927.00
2008-Q4;285,335.00
2009-Q1;270,105.00
2009-Q2;275,140.00
2009-Q3;278,307.00
2009-Q4;276,741.00
2010-Q1;274,528.00
2010-Q2;276,446.00
2010-Q3;296,024.00
2010-Q4;308,418.00
2011-Q1;316,469.00
2011-Q2;332,266.00
2011-Q3;327,546.00
2011-Q4;320,766.00
2012-Q1;331,686.00
2012-Q2;337,921.00
2012-Q3;343,296.00
2012-Q4;356,536.00
2013-Q1;365,772.00
2013-Q2;381,991.00
2013-Q3;390,248.00
2013-Q4;404,103.00
2014-Q1;401,738.00
2014-Q2;416,747.00
2014-Q3;412,823.00
2014-Q4;415,506.00
2015-Q1;403,234.00
2015-Q2;414,233.00
2015-Q3;412,214.00
2015-Q4;401,624.00
2016-Q1;413,859.00
2016-Q2;423,821.00
2016-Q3;417,320.00
2016-Q4;405,920.00
2017-Q1;413,347.00
2017-Q2;433,304.00
2017-Q3;439,742.00
2017-Q4;450,340.00
2018-Q1;456,475.00
2018-Q2;447,365.00
2018-Q3;433,871.00
2018-Q4;425,381.00
2019-Q1;431,433.00
2019-Q2;423,314.00
2019-Q3;415,034.00
2019-Q4;413,244.00
2020-Q1;408,925.00
2020-Q2;404,608.00
2020-Q3;412,508.00
2020-Q4;427,209.00
2021-Q1;423,526.00
2021-Q2;436,086.00
2021-Q3;444,028.00
2021-Q4;433,892.00
2022-Q1;441,890.00
2022-Q2;437,311.00
2022-Q3;435,319.00
2022-Q4;455,349.00
2023-Q1;472,827.00
2023-Q2;474,678.00
2023-Q3;478,924.00
2023-Q4;499,008.00
2024-Q1;501,650.00
2024-Q2;512,779.00
2024-Q3;525,799.00
