Date;TP AB TOPLAM
25-02-2022;113,143.00
04-03-2022;110,260.00
11-03-2022;108,863.00
18-03-2022;108,707.00
25-03-2022;108,036.00
01-04-2022;108,961.00
08-04-2022;109,911.00
15-04-2022;112,296.00
22-04-2022;108,915.00
29-04-2022;106,864.00
06-05-2022;107,658.00
13-05-2022;101,939.00
20-05-2022;100,260.00
27-05-2022;102,896.00
03-06-2022;102,740.00
10-06-2022;102,513.00
17-06-2022;101,027.00
24-06-2022;101,935.00
01-07-2022;100,941.00
08-07-2022;98,650.00
15-07-2022;99,364.00
22-07-2022;98,322.00
29-07-2022;101,262.00
05-08-2022;108,637.00
12-08-2022;113,737.00
19-08-2022;112,249.00
26-08-2022;111,647.00
02-09-2022;111,926.00
09-09-2022;113,681.00
16-09-2022;114,738.00
23-09-2022;110,802.00
30-09-2022;107,047.00
07-10-2022;113,975.00
14-10-2022;116,025.00
21-10-2022;113,967.00
28-10-2022;114,179.00
04-11-2022;113,681.00
11-11-2022;117,522.00
18-11-2022;122,884.00
25-11-2022;122,600.00
02-12-2022;124,988.00
09-12-2022;128,764.00
16-12-2022;129,510.00
23-12-2022;128,428.00
30-12-2022;128,754.00
06-01-2023;126,409.00
13-01-2023;127,271.00
20-01-2023;128,742.00
27-01-2023;127,139.00
03-02-2023;129,626.00
10-02-2023;125,637.00
17-02-2023;122,597.00
24-02-2023;121,169.00
03-03-2023;120,358.00
10-03-2023;120,012.00
17-03-2023;126,885.00
24-03-2023;124,693.00
31-03-2023;122,422.00
07-04-2023;121,102.00
14-04-2023;121,530.00
21-04-2023;116,129.00
28-04-2023;114,883.00
05-05-2023;114,131.00
12-05-2023;105,127.00
19-05-2023;101,590.00
26-05-2023;98,457.00
02-06-2023;100,484.00
09-06-2023;99,783.00
16-06-2023;102,800.00
23-06-2023;107,560.00
30-06-2023;108,586.00
07-07-2023;110,415.00
14-07-2023;113,060.00
21-07-2023;113,550.00
28-07-2023;113,773.00
04-08-2023;115,590.00
11-08-2023;116,318.00
18-08-2023;117,074.00
25-08-2023;117,298.00
01-09-2023;120,623.00
08-09-2023;120,643.00
15-09-2023;121,514.00
22-09-2023;125,502.00
29-09-2023;122,202.00
06-10-2023;122,882.00
13-10-2023;124,497.00
20-10-2023;126,124.00
27-10-2023;126,559.00
03-11-2023;128,418.00
10-11-2023;128,612.00
17-11-2023;134,467.00
24-11-2023;136,492.00
01-12-2023;140,148.00
08-12-2023;141,373.00
15-12-2023;142,527.00
22-12-2023;145,452.00
29-12-2023;141,060.00
05-01-2024;139,611.77
12-01-2024;139,799.18
19-01-2024;138,090.91
26-01-2024;137,160.55
02-02-2024;135,443.66
09-02-2024;134,926.82
16-02-2024;134,208.13
23-02-2024;131,749.86
01-03-2024;130,919.25
08-03-2024;130,532.84
15-03-2024;127,896.71
22-03-2024;123,844.32
29-03-2024;123,126.05
05-04-2024;126,871.20
12-04-2024;128,445.93
19-04-2024;126,283.55
26-04-2024;124,080.07
03-05-2024;126,854.89
10-05-2024;134,402.04
17-05-2024;139,125.27
24-05-2024;142,241.68
31-05-2024;143,648.24
07-06-2024;146,151.68
14-06-2024;146,300.57
21-06-2024;147,621.74
28-06-2024;142,910.13
05-07-2024;148,447.92
12-07-2024;153,795.73
19-07-2024;153,909.91
26-07-2024;148,010.90
02-08-2024;150,385.53
09-08-2024;150,233.12
16-08-2024;152,914.82
23-08-2024;150,412.76
30-08-2024;149,372.92
06-09-2024;146,760.84
13-09-2024;153,549.71
20-09-2024;156,391.91
27-09-2024;157,390.42
04-10-2024;156,315.17
11-10-2024;157,385.95
18-10-2024;159,364.78
25-10-2024;159,398.09
01-11-2024;159,618.57
08-11-2024;157,307.89
15-11-2024;156,684.17
22-11-2024;156,638.73
29-11-2024;157,738.17
06-12-2024;159,390.01
13-12-2024;163,481.61
20-12-2024;156,194.01
27-12-2024;155,057.25
03-01-2025;157,933.36
10-01-2025;160,446.80
