GrossDomesticProduct;priceindex;GrossFixedCapitalFormation;ConsumerLoans
168,157,392.20;96.37;17,965,292.75;2,477,339.00
187,847,512.52;99.75;23,210,554.69;2,862,453.00
213,698,705.09;100.49;25,072,674.23;3,759,532.00
210,446,625.62;103.39;31,387,819.50;5,833,254.00
186,597,362.91;105.51;29,002,842.65;7,877,563.00
209,927,266.65;107.15;38,297,330.09;10,772,461.00
231,618,404.52;108.61;37,666,579.88;12,081,996.00
228,430,222.10;113.13;41,784,751.92;12,542,550.00
204,512,731.67;114.60;36,313,663.24;15,652,803.00
226,509,016.62;116.38;45,828,135.63;19,502,968.00
250,316,792.62;117.20;45,831,145.14;23,545,989.00
252,260,394.54;121.75;51,690,341.78;28,129,000.00
217,704,207.44;123.86;43,773,672.83;33,465,765.00
247,725,192.41;127.56;57,472,020.12;41,368,877.00
265,247,450.31;129.89;59,808,134.64;42,696,702.00
267,788,428.08;133.71;65,505,023.50;45,498,433.00
235,561,771.50;136.64;51,704,403.54;48,654,207.00
255,717,728.38;139.68;61,927,626.15;53,495,961.00
274,898,003.87;139.17;63,465,705.98;58,894,056.00
282,645,449.92;144.63;70,464,899.97;65,609,349.00
252,641,378.41;148.68;60,375,080.85;71,553,540.00
261,477,623.88;154.12;72,408,881.83;76,910,627.00
277,626,966.59;155.38;65,716,369.10;82,498,004.00
265,625,149.58;160.44;68,749,592.10;81,040,236.00
215,905,011.36;161.12;45,075,709.72;80,455,821.00
243,673,488.71;162.90;58,809,680.91;83,221,692.00
273,267,188.23;163.67;55,991,290.57;85,264,447.00
273,526,793.30;169.60;63,833,922.87;90,430,727.00
230,846,455.35;176.09;52,342,000.98;96,407,621.00
263,356,954.68;177.92;69,736,012.62;105,011,409.00
297,000,514.71;177.39;76,991,797.34;113,155,411.00
299,976,615.76;182.20;88,589,690.49;125,057,443.00
258,090,805.57;183.74;74,162,414.89;135,966,089.00
293,758,318.34;188.40;99,971,344.26;150,966,354.00
331,501,189.05;188.69;102,635,773.08;157,120,717.00
330,043,654.74;198.95;113,014,255.00;162,188,845.00
275,488,237.75;203.02;86,772,983.31;165,484,843.00
308,565,025.09;206.14;108,040,224.35;172,284,628.00
343,583,345.26;205.76;110,977,011.06;177,496,033.00
343,860,641.28;212.42;122,132,988.24;186,409,890.00
298,685,483.08;217.65;104,679,153.59;197,391,704.00
338,615,087.61;220.52;129,188,461.64;213,365,424.00
374,208,704.27;222.85;137,265,557.92;225,997,462.00
367,884,904.19;228.30;145,744,322.89;236,505,959.00
324,293,719.82;235.09;131,932,463.60;240,468,624.00
348,057,962.44;241.25;143,497,472.00;249,012,466.00
387,015,837.89;243.44;150,987,749.99;258,863,782.00
388,164,802.39;248.30;164,277,729.38;268,606,707.00
335,783,418.82;252.64;141,918,899.45;277,832,520.00
373,025,438.55;259.92;174,240,865.91;285,243,368.00
409,166,153.70;261.21;178,162,554.13;288,824,736.00
417,632,226.00;268.57;200,488,200.72;290,862,324.00
352,382,460.13;274.36;163,311,080.13;294,339,648.00
391,687,809.34;277.92;189,277,389.99;301,509,385.00
406,428,166.64;282.20;188,726,919.23;306,480,075.00
436,138,322.56;288.89;223,229,740.10;322,623,237.00
371,026,461.24;302.38;190,619,573.07;336,260,932.00
412,454,631.61;309.87;230,016,831.12;351,208,706.00
454,346,282.41;311.99;247,151,013.60;368,275,063.00
467,838,833.28;324.33;267,847,208.72;380,945,422.00
398,882,002.69;333.47;244,868,495.47;390,032,190.00
436,708,545.72;349.52;294,592,280.55;401,788,491.00
465,867,799.64;372.64;289,231,476.31;397,840,238.00
455,602,489.61;396.88;290,892,149.02;383,595,708.00
388,781,367.95;399.86;259,584,897.82;385,518,589.00
429,660,442.36;412.26;269,175,248.45;384,736,335.00
470,453,776.92;423.04;273,549,041.81;404,850,755.00
482,547,048.71;437.78;319,355,111.86;446,109,321.00
405,408,720.94;448.35;275,758,697.27;486,998,875.00
385,132,722.91;460.30;294,121,863.84;556,272,619.00
500,736,628.89;472.79;380,929,207.40;627,629,734.00
513,111,147.15;496.92;438,668,673.36;638,262,120.00
436,001,064.89;518.26;388,430,226.61;653,715,367.00
471,208,627.74;538.95;469,487,518.64;668,085,756.00
540,689,482.87;563.87;512,645,334.19;696,199,835.00
562,901,267.07;625.37;673,670,445.05;733,977,500.00
470,143,060.37;802.27;745,034,610.11;758,185,816.00
507,127,692.28;938.15;1,052,634,938.87;862,746,277.00
563,105,452.10;1,021.19;1,167,147,370.23;909,970,585.00
581,690,430.06;1,109.24;1,413,055,901.85;1,023,442,303.00
491,463,098.12;1,238.19;1,467,834,252.74;1,200,722,848.00
530,581,458.09;1,317.41;1,792,194,481.09;1,298,741,169.00
599,764,946.09;1,595.06;2,472,923,149.79;1,351,552,271.00
608,719,527.21;1,805.00;2,723,621,913.58;1,430,560,556.00
517,530,603.65;2,065.79;2,792,687,434.86;1,538,364,660.00
543,417,613.59;2,269.55;3,117,446,011.90;1,644,610,400.00
612,403,962.40;2,457.87;3,534,142,235.77;1,751,049,089.00
